title,author,description,category,medium,audience,size,purchase_price,selling_price,stock
"The Chronicles of Wonder",Alice Johnson,"Embark on a thrilling adventure through the fantastical world of wonder and magic. Join our heroes as they battle ancient evils and uncover hidden secrets.","Fiction","Printed","Children",350,9.99,15.99,50
"The Secret Garden",Frances Hodgson Burnett,"Follow the journey of Mary Lennox as she discovers a hidden garden and learns the power of friendship and nature's wonders.","Fiction","E-book","Children",1200,7.50,9.99,30
"The Art of War",Sun Tzu,"A timeless classic on strategy and warfare, offering valuable insights into the art of leadership and conflict resolution.","Non-fiction","Printed","Adults",200,9.65,12.50,20
"Lost in the Wilderness",Mark Williams,"Join Jack and Jill as they navigate through the dense jungles of South America in search of a legendary treasure, encountering danger and mystery at every turn.","Fiction","Audiobook","Children",180,15.25,24.99,15
"Science Made Simple","Dr. Emily Parker","An engaging introduction to the fascinating world of science, covering topics ranging from chemistry and physics to biology and astronomy.","Non-fiction","Printed","Children",300,11.45,19.99,40
"The Great Gatsby",F. Scott Fitzgerald,"Set in the Roaring Twenties, this timeless classic explores themes of love, wealth, and the pursuit of the American Dream.","Fiction","Printed","Adults",250,5.99,10.99,25
"Space Odyssey","David Smith","Embark on an epic journey through the cosmos as humanity ventures into the final frontier, exploring distant planets and encountering alien civilizations.","Fiction","E-book","Adults",800,8.75,14.99,35
"Harry Potter and the Sorcerer's Stone",J.K. Rowling,"Enter the enchanting world of Hogwarts School of Witchcraft and Wizardry as Harry Potter discovers his magical heritage and battles the dark forces of Voldemort.","Fiction","Printed","Children",320,13.50,18.99,60
"The Power of Now",Eckhart Tolle,"A spiritual guide to enlightenment and living in the present moment, offering practical advice for finding inner peace and happiness.","Non-fiction","Printed","Adults",220,7.89,11.99,45
"The Adventures of Sherlock Holmes",Arthur Conan Doyle,"Join the legendary detective Sherlock Holmes and his loyal companion Dr. Watson as they solve a series of baffling mysteries in Victorian London.","Fiction","Audiobook","Adults",360,14.19,22.99,20
"Into the Wild",Jon Krakauer,"Follow the true story of Chris McCandless as he leaves behind his conventional life to embark on a journey of self-discovery and exploration in the Alaskan wilderness.","Non-fiction","Printed","Adults",200,6.73,13.99,10
"A Wrinkle in Time",Madeleine L'Engle,"Embark on a thrilling adventure through time and space as Meg Murry and her friends journey to rescue her father and save the universe from an evil force.","Fiction","E-book","Children",200,5.27,8.99,50
"Digital Marketing Essentials","Sarah Johnson","A comprehensive guide to digital marketing strategies and techniques, covering topics such as SEO, social media marketing, email campaigns, and more.","Non-fiction","E-book","Adults",200,10.85,16.99,30
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,"Step through the wardrobe into the magical land of Narnia, where four siblings embark on an epic quest to defeat the White Witch and restore peace to the kingdom.","Fiction","Printed","Children",400,11.26,17.99,40
"Modern Art: A Visual Journey","Michael Adams","Explore the vibrant world of modern art through stunning visuals and insightful commentary, tracing the evolution of artistic movements from Impressionism to Abstract Expressionism.","Non-fiction","Printed","Adults",300,14.78,20.99,20
"Treasure Island",Robert Louis Stevenson,"Set sail on a thrilling adventure to Treasure Island, where young Jim Hawkins embarks on a quest for buried treasure, encountering pirates, mutiny, and danger along the way.","Fiction","Audiobook","Children",600,16.21,25.99,15
"The Alchemist",Paulo Coelho,"A philosophical tale of self-discovery and destiny, following Santiago's journey from Spain to Egypt in search of treasure and the true meaning of life.","Fiction","Printed","Adults",250,8.64,12.99,50
"The Complete Works of William Shakespeare",William Shakespeare,"Experience the timeless beauty of Shakespeare's plays and poetry, from tragic love stories like Romeo and Juliet to epic historical dramas like Macbeth.","Fiction","Printed","Adults",1500,18.37,29.99,10
"Learning Python Programming","John Smith","A beginner-friendly guide to learning Python programming language, covering basic syntax, data structures, functions, and more.","Non-fiction","E-book","Adults",300,9.49,14.99,30
"The Hunger Games",Suzanne Collins,"Set in a dystopian future, follow Katniss Everdeen as she fights for survival in the annual Hunger Games, battling against other tributes in a deadly arena.","Fiction","Printed","Young Adults",400,6.09,11.99,25
"The Catcher in the Rye",J.D. Salinger,"Follow Holden Caulfield's journey of self-discovery as he navigates the complexities of adolescence and society in this classic coming-of-age novel.","Fiction","E-book","Young Adults",300,5.15,9.99,20
"Big Magic: Creative Living Beyond Fear","Elizabeth Gilbert","An inspiring exploration of creativity and the creative process, offering insights and advice for living a more vibrant and fulfilling life.","Non-fiction","Printed","Adults",250,12.47,18.99,35
"The Adventures of Huckleberry Finn",Mark Twain,"Join Huck Finn and Jim on a journey down the Mississippi River, where they encounter a cast of colorful characters and confront the social injustices of the antebellum South.","Fiction","Audiobook","Young Adults",600,15.81,21.99,15
"Introduction to Psychology","Dr. Samantha Davis","An introductory guide to the fascinating field of psychology, covering topics such as human behavior, cognition, emotions, and mental disorders.","Non-fiction","Printed","Adults",300,10.69,17.99,40
"Little Women",Louisa May Alcott,"Follow the lives of the four March sisters—Meg, Jo, Beth, and Amy—as they navigate the challenges of adolescence, friendship, and love during the Civil War era.","Fiction","E-book","Young Adults",500,9.99,14.50,90
