Name,Description,Category,Price,Stock
Laptop,"A portable computer for work and entertainment.",Electronics,899.99,50
Coffee Maker,"An appliance for brewing delicious coffee at home.",Appliances,49.99,75
Chair,"A comfortable seat for sitting.",Furniture,59.99,100
Book,"A source of knowledge and entertainment.",Books,12.99,300
Headphones,"Audio devices for listening to music.",Electronics,29.99,200
T-shirt,"Casual clothing for everyday wear.",Apparel,19.99,500
Watch,"A timekeeping device worn on the wrist.",Accessories,99.99,150
Smartphone,"A mobile device for communication and entertainment.",Electronics,599.99,100
Toaster,"An appliance for toasting bread.",Appliances,39.99,80
Desk,"A piece of furniture for working or studying.",Furniture,129.99,50
